City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
85,Torbay,CA,2021-10-16 13:37:14,47.6666,-52.7314,47.75,95,90,21.85,light intensity drizzle
86,Taltal,CL,2021-10-16 13:37:14,-25.4,-70.4833,62.33,64,0,7.11,clear sky
87,Chokurdakh,RU,2021-10-16 13:37:15,70.6333,147.9167,-4.09,100,83,5.08,broken clouds
88,Vaini,TO,2021-10-16 13:35:40,-21.2,-175.2,73.56,94,75,6.91,broken clouds
89,Axim,GH,2021-10-16 13:37:15,4.8699,-2.2405,84.36,69,25,9.73,scattered clouds
90,Pacific Grove,US,2021-10-16 13:37:16,36.6177,-121.9166,65.16,38,1,3.44,clear sky
91,Hobart,AU,2021-10-16 13:33:27,-42.8794,147.3294,49.86,70,75,1.01,broken clouds
92,Coahuayana,MX,2021-10-16 13:37:16,18.7333,-103.6833,81.88,84,44,3.4,scattered clouds
93,Porto Walter,BR,2021-10-16 13:34:41,-8.2686,-72.7439,88.38,53,71,4.72,broken clouds
94,Gamba,GA,2021-10-16 13:37:17,-2.65,10.0,81.72,70,92,11.16,overcast clouds
95,Lebu,CL,2021-10-16 13:37:17,-37.6167,-73.65,53.55,67,21,8.79,few clouds
96,Dzaoudzi,YT,2021-10-16 13:37:18,-12.7887,45.2699,82.29,61,0,10.36,clear sky
97,Iquique,CL,2021-10-16 13:37:18,-20.2208,-70.1431,62.64,65,0,7.31,clear sky
98,Morant Bay,JM,2021-10-16 13:37:19,17.8815,-76.4093,85.62,71,31,4.32,scattered clouds
99,Banepa,NP,2021-10-16 13:37:19,27.6298,85.5214,73.72,78,75,4.61,broken clouds
100,Barranca,PE,2021-10-16 13:37:20,-10.75,-77.7667,63.09,84,97,6.26,overcast clouds
101,Itarema,BR,2021-10-16 13:37:20,-2.9248,-39.9167,91.04,49,100,17.9,overcast clouds
102,Beian,NO,2021-10-16 13:37:20,63.6559,9.5683,42.89,81,40,14.97,scattered clouds
103,San Cristobal,VE,2021-10-16 13:31:50,7.7669,-72.225,69.98,54,60,1.3,broken clouds
104,Casper,US,2021-10-16 13:37:21,42.8666,-106.3131,40.71,63,1,11.99,clear sky
105,Dikson,RU,2021-10-16 13:37:21,73.5069,80.5464,30.9,97,100,15.57,overcast clouds
106,Kindu,CD,2021-10-16 13:37:22,-2.95,25.95,80.35,65,100,2.62,overcast clouds
107,Kasese,UG,2021-10-16 13:37:22,0.1833,30.0833,74.28,86,99,3.85,light rain
108,Aswan,EG,2021-10-16 13:37:23,24.0934,32.907,106.9,12,0,11.5,clear sky
109,Daru,PG,2021-10-16 13:37:23,-9.0763,143.2092,79.32,85,12,10.98,few clouds
110,Thompson,CA,2021-10-16 13:36:19,55.7435,-97.8558,33.96,100,90,6.91,overcast clouds
111,Clyde River,CA,2021-10-16 13:37:24,70.4692,-68.5914,25.03,86,90,2.3,overcast clouds
112,Bredasdorp,ZA,2021-10-16 13:36:05,-34.5322,20.0403,58.28,46,94,22.15,overcast clouds
113,Margate,GB,2021-10-16 13:36:48,51.3813,1.3862,59.88,65,80,1.99,broken clouds
114,Touros,BR,2021-10-16 13:37:25,-5.1989,-35.4608,86.9,55,89,18.05,overcast clouds
115,Zaysan,KZ,2021-10-16 13:37:26,47.4667,84.8667,47.91,36,0,5.61,clear sky
116,Yima,CN,2021-10-16 13:37:26,34.7381,111.8839,45.7,57,6,7.81,light rain
117,North Bend,US,2021-10-16 13:37:26,43.4065,-124.2243,47.86,96,1,9.22,clear sky
118,Lakselv,NO,2021-10-16 13:37:27,70.0513,24.9718,39.02,81,90,18.41,light rain
119,Alot,IN,2021-10-16 13:37:27,23.7667,75.55,79.09,50,96,5.55,overcast clouds
120,Conde,BR,2021-10-16 13:37:28,-7.2597,-34.9075,85.46,54,40,11.5,scattered clouds
121,Miass,RU,2021-10-16 13:37:29,55.045,60.1083,41.09,62,32,4.63,scattered clouds
122,Carutapera,BR,2021-10-16 13:37:29,-1.195,-46.02,87.64,61,95,9.75,overcast clouds
123,Qaqortoq,GL,2021-10-16 13:37:29,60.7167,-46.0333,30.7,54,1,2.86,clear sky
124,Nanortalik,GL,2021-10-16 13:37:30,60.1432,-45.2371,42.85,55,12,5.03,few clouds
125,Yarmouth,US,2021-10-16 13:37:30,41.7057,-70.2286,71.02,91,20,9.22,few clouds
126,Petropavlovsk-Kamchatskiy,RU,2021-10-16 13:37:30,53.0452,158.6483,41.59,42,0,22.37,clear sky
127,San Quintin,MX,2021-10-16 13:33:28,30.4833,-115.95,64.85,49,0,0.94,clear sky
128,Ukiah,US,2021-10-16 13:36:47,39.1502,-123.2078,59.04,50,6,3.22,clear sky
129,Nikolskoye,RU,2021-10-16 13:33:26,59.7035,30.7861,47.88,62,61,12.26,broken clouds
130,Souillac,MU,2021-10-16 13:35:40,-20.5167,57.5167,77.38,65,75,16.11,broken clouds
131,Beira,MZ,2021-10-16 13:37:32,-19.8436,34.8389,84.9,63,9,14.45,clear sky
132,Mahajanga,MG,2021-10-16 13:37:32,-15.7167,46.3167,87.82,45,20,18.41,few clouds
133,Drabiv,UA,2021-10-16 13:37:32,49.963,32.1529,46.92,85,100,5.06,overcast clouds
134,Katherine,AU,2021-10-16 13:37:33,-14.4667,132.2667,89.92,43,90,8.05,overcast clouds
