City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
259,Bandarbeyla,SO,80.74,clear sky,9.4942,50.8122,JABIR HOTEL
260,San Policarpo,PH,80.91,broken clouds,12.1791,125.5072,Agapita M. Nicart
261,Vanimo,PG,79.5,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
262,Lazaro Cardenas,MX,79.86,overcast clouds,17.9583,-102.2,quinta antigua
264,Heilbron,ZA,83.34,broken clouds,-27.2812,27.9709,Guest house
265,Ilheus,BR,84.02,scattered clouds,-14.7889,-39.0494,Barravento Hotel
267,Karratha,AU,75.31,clear sky,-20.7377,116.8463,ibis Styles Karratha
274,Acapulco,MX,78.62,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
275,La Peca,PE,71.02,light rain,-5.6111,-78.435,Hospedaje San Miguelito
276,Kavieng,PG,83.48,broken clouds,-2.5744,150.7967,Nusa Island Retreat
280,Galesong,ID,77.02,broken clouds,-5.3166,119.3661,Sapriadi Appy
284,Hasaki,JP,72.28,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
286,Tual,ID,83.41,broken clouds,-5.6667,132.75,Grand Vilia Hotel
289,Banjar,ID,82.26,broken clouds,-8.19,114.9675,The Hamsa Resort
290,Hambantota,LK,84.54,scattered clouds,6.1241,81.1185,Bungalow 63
291,Wanning,CN,76.48,overcast clouds,18.8003,110.3967,Paradise Hotel
292,Limon,CR,75.09,broken clouds,10.0,-83.0333,Hotel Playa Bonita
293,Bengkulu,ID,79.16,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
310,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
316,Jaque,PA,79.21,light rain,7.5175,-78.1703,Imbu Bua Lodge
319,Ihosy,MG,84.83,clear sky,-22.4,46.1167,Tamana Hôtel
324,Popondetta,PG,74.37,light rain,-8.7537,148.2534,Timos Transit House
326,Cap Malheureux,MU,77.49,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
327,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
330,Cape Coast,GH,83.14,scattered clouds,5.1053,-1.2466,Samrit Hotel
333,Greenville,US,72.99,clear sky,35.6127,-77.3663,the 5th Street Inn
335,Dingle,PH,77.22,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
